GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,FINALS_GAME_ID
Shot Chart Detail,41600401,30,2544,LeBron James,1610612739,Cleveland Cavaliers,1,9,6,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,8,1,0,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,44,2544,LeBron James,1610612739,Cleveland Cavaliers,1,8,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-109,228,1,0,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,72,2544,LeBron James,1610612739,Cleveland Cavaliers,1,5,52,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,103,2544,LeBron James,1610612739,Cleveland Cavaliers,1,3,12,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,133,229,1,1,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,107,2544,LeBron James,1610612739,Cleveland Cavaliers,1,2,35,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,152,2544,LeBron James,1610612739,Cleveland Cavaliers,2,11,46,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,11,1,1,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,217,2544,LeBron James,1610612739,Cleveland Cavaliers,2,6,22,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,11,1,1,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,234,2544,LeBron James,1610612739,Cleveland Cavaliers,2,5,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,71,252,1,0,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,341,2544,LeBron James,1610612739,Cleveland Cavaliers,3,9,9,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-12,31,1,0,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,349,2544,LeBron James,1610612739,Cleveland Cavaliers,3,7,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-204,169,1,1,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,356,2544,LeBron James,1610612739,Cleveland Cavaliers,3,6,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,29,-37,296,1,0,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,362,2544,LeBron James,1610612739,Cleveland Cavaliers,3,6,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-120,115,1,0,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,364,2544,LeBron James,1610612739,Cleveland Cavaliers,3,6,24,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,385,2544,LeBron James,1610612739,Cleveland Cavaliers,3,4,14,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,1,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,396,2544,LeBron James,1610612739,Cleveland Cavaliers,3,2,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-94,23,1,0,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,411,2544,LeBron James,1610612739,Cleveland Cavaliers,3,1,59,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,20,26,1,0,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,466,2544,LeBron James,1610612739,Cleveland Cavaliers,4,10,23,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-22,46,1,0,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,493,2544,LeBron James,1610612739,Cleveland Cavaliers,4,8,23,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,148,0,1,1,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,496,2544,LeBron James,1610612739,Cleveland Cavaliers,4,7,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,50,252,1,0,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,519,2544,LeBron James,1610612739,Cleveland Cavaliers,4,5,11,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,11,1,0,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600402,4,2544,LeBron James,1610612739,Cleveland Cavaliers,1,11,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,1,20170604,GSW,CLE,2016-17,41600402
Shot Chart Detail,41600402,13,2544,LeBron James,1610612739,Cleveland Cavaliers,1,10,41,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,23,1,1,20170604,GSW,CLE,2016-17,41600402
Shot Chart Detail,41600402,28,2544,LeBron James,1610612739,Cleveland Cavaliers,1,9,38,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,19,36,1,0,20170604,GSW,CLE,2016-17,41600402
Shot Chart Detail,41600402,41,2544,LeBron James,1610612739,Cleveland Cavaliers,1,8,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-97,52,1,0,20170604,GSW,CLE,2016-17,41600402
Shot Chart Detail,41600402,98,2544,LeBron James,1610612739,Cleveland Cavaliers,1,3,20,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20170604,GSW,CLE,2016-17,41600402
Shot Chart Detail,41600402,114,2544,LeBron James,1610612739,Cleveland Cavaliers,1,2,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,18,1,1,20170604,GSW,CLE,2016-17,41600402
Shot Chart Detail,41600402,136,2544,LeBron James,1610612739,Cleveland Cavaliers,1,1,5,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,21,1,0,20170604,GSW,CLE,2016-17,41600402
Shot Chart Detail,41600402,210,2544,LeBron James,1610612739,Cleveland Cavaliers,2,6,49,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-63,41,1,0,20170604,GSW,CLE,2016-17,41600402
Shot Chart Detail,41600402,218,2544,LeBron James,1610612739,Cleveland Cavaliers,2,5,49,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,3,1,1,20170604,GSW,CLE,2016-17,41600402
Shot Chart Detail,41600402,228,2544,LeBron James,1610612739,Cleveland Cavaliers,2,4,54,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,16,1,1,20170604,GSW,CLE,2016-17,41600402
Shot Chart Detail,41600402,241,2544,LeBron James,1610612739,Cleveland Cavaliers,2,3,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,11,1,1,20170604,GSW,CLE,2016-17,41600402
Shot Chart Detail,41600402,266,2544,LeBron James,1610612739,Cleveland Cavaliers,2,1,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,7,1,1,20170604,GSW,CLE,2016-17,41600402
Shot Chart Detail,41600402,346,2544,LeBron James,1610612739,Cleveland Cavaliers,3,6,48,Made Shot,Fadeaway Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-215,144,1,1,20170604,GSW,CLE,2016-17,41600402
Shot Chart Detail,41600402,356,2544,LeBron James,1610612739,Cleveland Cavaliers,3,5,57,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,3,1,1,20170604,GSW,CLE,2016-17,41600402
Shot Chart Detail,41600402,379,2544,LeBron James,1610612739,Cleveland Cavaliers,3,4,28,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,140,134,1,1,20170604,GSW,CLE,2016-17,41600402
Shot Chart Detail,41600402,381,2544,LeBron James,1610612739,Cleveland Cavaliers,3,3,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,79,242,1,0,20170604,GSW,CLE,2016-17,41600402
Shot Chart Detail,41600402,384,2544,LeBron James,1610612739,Cleveland Cavaliers,3,3,27,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,7,1,0,20170604,GSW,CLE,2016-17,41600402
Shot Chart Detail,41600402,456,2544,LeBron James,1610612739,Cleveland Cavaliers,4,10,25,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-66,28,1,1,20170604,GSW,CLE,2016-17,41600402
Shot Chart Detail,41600403,15,2544,LeBron James,1610612739,Cleveland Cavaliers,1,9,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,-5,1,1,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,25,2544,LeBron James,1610612739,Cleveland Cavaliers,1,8,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-163,198,1,1,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,30,2544,LeBron James,1610612739,Cleveland Cavaliers,1,7,51,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,0,1,1,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,32,2544,LeBron James,1610612739,Cleveland Cavaliers,1,7,26,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-174,31,1,1,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,34,2544,LeBron James,1610612739,Cleveland Cavaliers,1,7,5,Missed Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-238,61,1,0,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,57,2544,LeBron James,1610612739,Cleveland Cavaliers,1,5,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,1,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,85,2544,LeBron James,1610612739,Cleveland Cavaliers,1,3,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-188,153,1,1,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,87,2544,LeBron James,1610612739,Cleveland Cavaliers,1,3,6,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,137,2544,LeBron James,1610612739,Cleveland Cavaliers,2,11,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-110,146,1,1,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,174,2544,LeBron James,1610612739,Cleveland Cavaliers,2,9,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,132,218,1,1,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,200,2544,LeBron James,1610612739,Cleveland Cavaliers,2,7,2,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,13,1,1,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,210,2544,LeBron James,1610612739,Cleveland Cavaliers,2,6,25,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,19,75,1,0,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,246,2544,LeBron James,1610612739,Cleveland Cavaliers,2,3,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-232,110,1,0,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,253,2544,LeBron James,1610612739,Cleveland Cavaliers,2,3,13,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-5,1,1,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,359,2544,LeBron James,1610612739,Cleveland Cavaliers,3,6,32,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-199,160,1,0,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,383,2544,LeBron James,1610612739,Cleveland Cavaliers,3,5,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,194,205,1,0,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,390,2544,LeBron James,1610612739,Cleveland Cavaliers,3,4,37,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,6,92,1,0,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,397,2544,LeBron James,1610612739,Cleveland Cavaliers,3,4,14,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,31,1,1,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,413,2544,LeBron James,1610612739,Cleveland Cavaliers,3,3,11,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,-5,1,0,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,424,2544,LeBron James,1610612739,Cleveland Cavaliers,3,1,58,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,452,2544,LeBron James,1610612739,Cleveland Cavaliers,3,0,0,Missed Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,37,149,1,0,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,462,2544,LeBron James,1610612739,Cleveland Cavaliers,4,11,9,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,2,1,0,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,465,2544,LeBron James,1610612739,Cleveland Cavaliers,4,10,37,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,238,11,1,1,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,501,2544,LeBron James,1610612739,Cleveland Cavaliers,4,6,55,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-6,1,1,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,540,2544,LeBron James,1610612739,Cleveland Cavaliers,4,3,45,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-6,1,0,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,559,2544,LeBron James,1610612739,Cleveland Cavaliers,4,1,29,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,104,67,1,0,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600403,587,2544,LeBron James,1610612739,Cleveland Cavaliers,4,0,12,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,2,1,0,20170607,CLE,GSW,2016-17,41600403
Shot Chart Detail,41600404,15,2544,LeBron James,1610612739,Cleveland Cavaliers,1,9,58,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-132,7,1,0,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600404,17,2544,LeBron James,1610612739,Cleveland Cavaliers,1,9,56,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,16,1,1,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600404,78,2544,LeBron James,1610612739,Cleveland Cavaliers,1,5,45,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,20,28,1,0,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600404,158,2544,LeBron James,1610612739,Cleveland Cavaliers,1,1,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-237,139,1,0,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600404,194,2544,LeBron James,1610612739,Cleveland Cavaliers,1,0,32,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,0,1,1,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600404,269,2544,LeBron James,1610612739,Cleveland Cavaliers,2,8,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-50,262,1,1,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600404,291,2544,LeBron James,1610612739,Cleveland Cavaliers,2,6,55,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600404,298,2544,LeBron James,1610612739,Cleveland Cavaliers,2,5,38,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-1,67,1,1,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600404,315,2544,LeBron James,1610612739,Cleveland Cavaliers,2,3,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-29,273,1,0,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600404,329,2544,LeBron James,1610612739,Cleveland Cavaliers,2,2,31,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,2,1,1,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600404,347,2544,LeBron James,1610612739,Cleveland Cavaliers,2,1,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,69,237,1,1,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600404,376,2544,LeBron James,1610612739,Cleveland Cavaliers,3,11,25,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-76,80,1,0,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600404,393,2544,LeBron James,1610612739,Cleveland Cavaliers,3,9,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,3,1,1,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600404,398,2544,LeBron James,1610612739,Cleveland Cavaliers,3,9,3,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600404,404,2544,LeBron James,1610612739,Cleveland Cavaliers,3,8,12,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,3,1,0,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600404,471,2544,LeBron James,1610612739,Cleveland Cavaliers,3,3,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-145,200,1,0,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600404,508,2544,LeBron James,1610612739,Cleveland Cavaliers,3,0,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,120,224,1,1,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600404,567,2544,LeBron James,1610612739,Cleveland Cavaliers,4,7,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-107,198,1,1,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600404,576,2544,LeBron James,1610612739,Cleveland Cavaliers,4,6,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-209,129,1,0,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600404,580,2544,LeBron James,1610612739,Cleveland Cavaliers,4,6,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,168,188,1,0,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600404,608,2544,LeBron James,1610612739,Cleveland Cavaliers,4,4,15,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-119,80,1,0,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600404,617,2544,LeBron James,1610612739,Cleveland Cavaliers,4,3,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,150,28,1,0,20170609,CLE,GSW,2016-17,41600404
Shot Chart Detail,41600405,8,2544,LeBron James,1610612739,Cleveland Cavaliers,1,11,8,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,55,65,1,1,20170612,GSW,CLE,2016-17,41600405
Shot Chart Detail,41600405,31,2544,LeBron James,1610612739,Cleveland Cavaliers,1,8,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,8,1,1,20170612,GSW,CLE,2016-17,41600405
Shot Chart Detail,41600405,38,2544,LeBron James,1610612739,Cleveland Cavaliers,1,8,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-97,65,1,1,20170612,GSW,CLE,2016-17,41600405
Shot Chart Detail,41600405,46,2544,LeBron James,1610612739,Cleveland Cavaliers,1,7,36,Missed Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,16,1,0,20170612,GSW,CLE,2016-17,41600405
Shot Chart Detail,41600405,51,2544,LeBron James,1610612739,Cleveland Cavaliers,1,7,2,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-88,232,1,1,20170612,GSW,CLE,2016-17,41600405
Shot Chart Detail,41600405,64,2544,LeBron James,1610612739,Cleveland Cavaliers,1,6,27,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-147,116,1,1,20170612,GSW,CLE,2016-17,41600405
Shot Chart Detail,41600405,81,2544,LeBron James,1610612739,Cleveland Cavaliers,1,5,3,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-73,65,1,0,20170612,GSW,CLE,2016-17,41600405
Shot Chart Detail,41600405,90,2544,LeBron James,1610612739,Cleveland Cavaliers,1,4,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,133,134,1,0,20170612,GSW,CLE,2016-17,41600405
Shot Chart Detail,41600405,115,2544,LeBron James,1610612739,Cleveland Cavaliers,1,2,18,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,28,1,0,20170612,GSW,CLE,2016-17,41600405
Shot Chart Detail,41600405,171,2544,LeBron James,1610612739,Cleveland Cavaliers,2,11,39,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20170612,GSW,CLE,2016-17,41600405
Shot Chart Detail,41600405,174,2544,LeBron James,1610612739,Cleveland Cavaliers,2,11,19,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-135,139,1,0,20170612,GSW,CLE,2016-17,41600405
Shot Chart Detail,41600405,185,2544,LeBron James,1610612739,Cleveland Cavaliers,2,10,14,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20170612,GSW,CLE,2016-17,41600405
Shot Chart Detail,41600405,199,2544,LeBron James,1610612739,Cleveland Cavaliers,2,9,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-88,28,1,0,20170612,GSW,CLE,2016-17,41600405
Shot Chart Detail,41600405,271,2544,LeBron James,1610612739,Cleveland Cavaliers,2,2,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,119,228,1,1,20170612,GSW,CLE,2016-17,41600405
Shot Chart Detail,41600405,302,2544,LeBron James,1610612739,Cleveland Cavaliers,2,0,24,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,16,1,1,20170612,GSW,CLE,2016-17,41600405
Shot Chart Detail,41600405,314,2544,LeBron James,1610612739,Cleveland Cavaliers,3,11,19,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,32,80,1,1,20170612,GSW,CLE,2016-17,41600405
Shot Chart Detail,41600405,321,2544,LeBron James,1610612739,Cleveland Cavaliers,3,9,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-220,174,1,0,20170612,GSW,CLE,2016-17,41600405
Shot Chart Detail,41600405,337,2544,LeBron James,1610612739,Cleveland Cavaliers,3,7,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,14,21,1,1,20170612,GSW,CLE,2016-17,41600405
Shot Chart Detail,41600405,355,2544,LeBron James,1610612739,Cleveland Cavaliers,3,5,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,53,254,1,0,20170612,GSW,CLE,2016-17,41600405
Shot Chart Detail,41600405,385,2544,LeBron James,1610612739,Cleveland Cavaliers,3,3,58,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,28,51,1,1,20170612,GSW,CLE,2016-17,41600405
